
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1040
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2871           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2881           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2882           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2883           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2884           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2885           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6612
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       3808
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       68016
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       868
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       776
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1720
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1444
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       3372
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       848
  TCP    0.0.0.0:62540          0.0.0.0:0              LISTENING       3808
  TCP    127.0.0.1:2871         127.0.0.1:61556        ESTABLISHED     4
  TCP    127.0.0.1:2881         127.0.0.1:61549        ESTABLISHED     4
  TCP    127.0.0.1:2881         127.0.0.1:61553        ESTABLISHED     4
  TCP    127.0.0.1:2881         127.0.0.1:61743        ESTABLISHED     4
  TCP    127.0.0.1:2882         127.0.0.1:61608        ESTABLISHED     4
  TCP    127.0.0.1:2883         127.0.0.1:61609        ESTABLISHED     4
  TCP    127.0.0.1:2884         127.0.0.1:61561        ESTABLISHED     4
  TCP    127.0.0.1:2884         127.0.0.1:61572        ESTABLISHED     4
  TCP    127.0.0.1:2884         127.0.0.1:61624        ESTABLISHED     4
  TCP    127.0.0.1:2885         127.0.0.1:61584        ESTABLISHED     4
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       51780
  TCP    127.0.0.1:5037         127.0.0.1:61728        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61769        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61779        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61780        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61781        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61832        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61833        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61834        TIME_WAIT       0
  TCP    127.0.0.1:5037         127.0.0.1:61837        TIME_WAIT       0
